Time,High,Low,Open,Close,Volume
2017-03-01 00:00:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0004451
2017-03-01 00:05:00,1.8e-07,1.7e-07,1.7e-07,1.7e-07,2.76389936
2017-03-01 00:10:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.06444509
2017-03-01 00:15:00,1.8e-07,1.7e-07,1.8e-07,1.7e-07,0.07003706
2017-03-01 00:20:00,1.8e-07,1.7e-07,1.8e-07,1.7e-07,0.1441522
2017-03-01 00:25:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00039922
2017-03-01 00:30:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.01075982
2017-03-01 00:35:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
2017-03-01 00:40:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0017
2017-03-01 00:45:00,1.8e-07,1.7e-07,1.7e-07,1.8e-07,0.00040799
2017-03-01 00:50:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.01286769
2017-03-01 00:55:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,3.77e-06
2017-03-01 01:00:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,5e-08
2017-03-01 01:05:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00023052
2017-03-01 01:10:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0017
2017-03-01 01:15:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
2017-03-01 01:20:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.00012328
2017-03-01 01:25:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.03213924
2017-03-01 01:30:00,1.8e-07,1.7e-07,1.7e-07,1.8e-07,0.00956284
2017-03-01 01:35:00,1.8e-07,1.7e-07,1.8e-07,1.7e-07,0.00260667
2017-03-01 01:40:00,1.8e-07,1.7e-07,1.8e-07,1.7e-07,0.00681989
2017-03-01 01:45:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.02083658
2017-03-01 01:50:00,1.8e-07,1.7e-07,1.8e-07,1.8e-07,0.01054213
2017-03-01 01:55:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.00482682
2017-03-01 02:00:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.02132159
2017-03-01 02:05:00,1.8e-07,1.7e-07,1.7e-07,1.8e-07,0.01549692
2017-03-01 02:10:00,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0
2017-03-01 02:15:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0425
2017-03-01 02:20:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.07139473
2017-03-01 02:25:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
2017-03-01 02:30:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.74673483
2017-03-01 02:35:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00029785
2017-03-01 02:40:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.09608569
2017-03-01 02:45:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
